0.501262,0.500369,0.499524,0.500012,0.499926,0.499997,0.497405,0.498094,0.499072,0.499834,0.499913,0.499881
0.164837,0.477254,0.496419,0.504878,0.427330,0.506866,0.832909,0.520652,0.502620,0.494839,0.572380,0.493012
0.642517,0.503388,0.486550,0.498346,0.530141,0.502703,0.355510,0.492480,0.506188,0.501259,0.469427,0.497092
0.519759,0.674507,0.502756,0.460743,0.500631,0.503616,0.478917,0.323347,0.495841,0.539028,0.499201,0.496261
0.471154,0.247770,0.498238,0.555019,0.495957,0.505034,0.518567,0.749149,0.498693,0.444613,0.503600,0.494482
0.450989,0.524729,0.198951,0.499165,0.478648,0.499042,0.547677,0.473738,0.799653,0.500687,0.521125,0.500798
0.498531,0.181381,0.403026,0.499898,0.513810,0.478876,0.499491,0.816725,0.595561,0.499938,0.486017,0.520962
0.488782,0.925988,0.429849,0.480115,0.514073,0.474863,0.509266,0.072209,0.567975,0.519710,0.485757,0.525015
0.508962,0.568321,0.487821,0.491434,0.513055,0.478813,0.489047,0.429794,0.510784,0.508428,0.486763,0.521026
0.863816,0.548766,0.422834,0.492091,0.522167,0.477182,0.134253,0.449701,0.575358,0.507757,0.477587,0.522696
0.500000,0.500000,0.499954,0.524018,0.500713,0.518709,0.500000,0.500000,0.500046,0.475982,0.499287,0.481291
0.500000,0.500000,0.486494,0.499433,0.477099,0.442670,0.500000,0.500000,0.513506,0.500567,0.522901,0.557330
0.111755,0.701670,0.453344,0.464104,0.429147,0.487895,0.886270,0.296432,0.544844,0.535694,0.570680,0.511983
0.071673,0.397987,0.382930,0.526830,0.422697,0.487148,0.925186,0.600242,0.614780,0.472910,0.576800,0.512731
0.559588,0.510651,0.477526,0.504524,0.519769,0.483491,0.438449,0.487451,0.521052,0.495271,0.480014,0.516345
0.562899,0.260991,0.498353,0.561283,0.518944,0.485620,0.435775,0.737474,0.500246,0.438569,0.480879,0.514258
0.386042,0.458390,0.353121,0.481348,0.496636,0.498461,0.613958,0.541610,0.646879,0.518652,0.503364,0.501539
0.340125,0.444007,0.347144,0.484651,0.480223,0.499000,0.637971,0.544781,0.650234,0.511832,0.514950,0.500598
0.344881,0.430666,0.386339,0.508864,0.479815,0.498245,0.655119,0.569334,0.613661,0.491136,0.520185,0.501755
0.365565,0.434031,0.376735,0.487868,0.499870,0.498399,0.629973,0.554005,0.619389,0.509287,0.499505,0.501567
0.388831,0.446493,0.370153,0.484168,0.497983,0.498541,0.611169,0.553507,0.629847,0.515832,0.502017,0.501459
0.325916,0.490097,0.401485,0.485890,0.481871,0.497299,0.674084,0.509903,0.598515,0.514110,0.518129,0.502701
0.377764,0.452987,0.358258,0.487281,0.496533,0.498303,0.622236,0.547013,0.641742,0.512719,0.503467,0.501697
