0.501926,0.501130,0.500426,0.500026,0.500037,0.500119,0.498074,0.498870,0.499574,0.499974,0.499963,0.499881
0.259994,0.539489,0.573289,0.487922,0.316049,0.492999,0.740006,0.460511,0.426711,0.512078,0.683951,0.507001
0.850621,0.521774,0.723616,0.501694,0.688595,0.466386,0.149379,0.478226,0.276384,0.498306,0.311405,0.533614
0.613374,0.740401,0.640552,0.368335,0.540099,0.478837,0.386626,0.259599,0.359448,0.631665,0.459901,0.521163
0.509926,0.313314,0.649652,0.621461,0.472639,0.492929,0.490074,0.686686,0.350348,0.378539,0.527361,0.507071
0.717610,0.513630,0.795516,0.524549,0.605069,0.485975,0.282390,0.486370,0.204484,0.475451,0.394931,0.514025
0.734812,0.999000,0.587379,0.400221,0.592900,0.487792,0.265188,0.001000,0.412621,0.599779,0.407100,0.512208
0.736314,0.082416,0.581548,0.616179,0.582038,0.496418,0.263686,0.917584,0.418452,0.383821,0.417962,0.503582
0.999000,0.560438,0.569081,0.520465,0.666844,0.492034,0.001000,0.439562,0.430919,0.479535,0.333156,0.507966
0.205798,0.547074,0.581189,0.504371,0.498351,0.485257,0.794202,0.452926,0.418811,0.495629,0.501649,0.514743
0.626848,0.496764,0.669604,0.529063,0.577465,0.472327,0.373152,0.503236,0.330396,0.470937,0.422535,0.527673
0.598782,0.468845,0.652287,0.572251,0.504936,0.553787,0.401218,0.531155,0.347713,0.427749,0.495064,0.446213
0.268826,0.720255,0.612145,0.386770,0.322357,0.492755,0.731174,0.279745,0.387855,0.613230,0.677643,0.507245
0.195257,0.196770,0.584970,0.722163,0.269181,0.474385,0.804743,0.803230,0.415030,0.277837,0.730819,0.525615
0.930104,0.849330,0.765195,0.294668,0.737911,0.474288,0.069896,0.150670,0.234805,0.705332,0.262089,0.525712
0.895722,0.346454,0.803610,0.610127,0.715417,0.469967,0.104278,0.653546,0.196390,0.389873,0.284583,0.530033
0.439075,0.520822,0.291278,0.482641,0.486646,0.498706,0.560925,0.479178,0.708722,0.517359,0.513354,0.501294
0.503988,0.436900,0.277279,0.566378,0.540352,0.496039,0.496012,0.563100,0.722721,0.433622,0.459648,0.503961
0.421907,0.403764,0.346767,0.603898,0.408086,0.506538,0.578093,0.596236,0.653233,0.396102,0.591914,0.493462
0.376514,0.354806,0.396012,0.679501,0.330698,0.502669,0.623486,0.645194,0.603988,0.320499,0.669302,0.497331
0.528597,0.353531,0.424884,0.706982,0.409904,0.515212,0.471403,0.646469,0.575116,0.293018,0.590096,0.484788
0.473284,0.375617,0.406081,0.801418,0.347493,0.466811,0.526716,0.624383,0.593919,0.198582,0.652507,0.533189
0.448664,0.370111,0.491951,0.637169,0.468008,0.499522,0.551336,0.629889,0.508049,0.362831,0.531992,0.500478
0.384334,0.376516,0.445727,0.481177,0.413167,0.496565,0.615666,0.623484,0.554273,0.518823,0.586833,0.503435
0.521734,0.417675,0.331246,0.430374,0.465313,0.494305,0.478266,0.582325,0.668754,0.569626,0.534687,0.505695
0.453193,0.416568,0.422862,0.618766,0.278291,0.545298,0.546807,0.583432,0.577138,0.381234,0.721709,0.454702
0.344460,0.466325,0.396986,0.557996,0.483593,0.505680,0.655540,0.533675,0.603014,0.442004,0.516407,0.494320
0.478513,0.337239,0.427731,0.562138,0.549845,0.478666,0.521487,0.662761,0.572269,0.437862,0.450155,0.521334
